[I 241224 13:50:15 app:51] on open
[I 241224 13:50:22 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12065867, 'exchange_timestamp': 1735028422000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:23 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12066223, 'exchange_timestamp': 1735028423000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:23 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12066328, 'exchange_timestamp': 1735028423000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:23 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12066483, 'exchange_timestamp': 1735028423000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:23 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12066502, 'exchange_timestamp': 1735028423000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:24 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12066937, 'exchange_timestamp': 1735028424000, 'last_traded_price': 122635, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:24 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12067075, 'exchange_timestamp': 1735028424000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:24 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12067165, 'exchange_timestamp': 1735028424000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:24 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12067184, 'exchange_timestamp': 1735028424000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:25 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12067572, 'exchange_timestamp': 1735028425000, 'last_traded_price': 122635, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:25 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12067710, 'exchange_timestamp': 1735028425000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:25 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12067758, 'exchange_timestamp': 1735028425000, 'last_traded_price': 122635, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:26 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12068267, 'exchange_timestamp': 1735028426000, 'last_traded_price': 122635, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:26 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12068383, 'exchange_timestamp': 1735028426000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:26 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12068438, 'exchange_timestamp': 1735028426000, 'last_traded_price': 122635, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:27 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12068879, 'exchange_timestamp': 1735028427000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:28 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12069074, 'exchange_timestamp': 1735028427000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:28 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12069087, 'exchange_timestamp': 1735028427000, 'last_traded_price': 191615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:28 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12069287, 'exchange_timestamp': 1735028427000, 'last_traded_price': 191615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:28 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12069699, 'exchange_timestamp': 1735028428000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:28 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12069749, 'exchange_timestamp': 1735028428000, 'last_traded_price': 122630, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:28 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12069767, 'exchange_timestamp': 1735028428000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:29 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12069942, 'exchange_timestamp': 1735028429000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:29 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12070343, 'exchange_timestamp': 1735028429000, 'last_traded_price': 122620, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:29 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12070553, 'exchange_timestamp': 1735028429000, 'last_traded_price': 122620, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:30 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12070695, 'exchange_timestamp': 1735028430000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:30 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12071018, 'exchange_timestamp': 1735028430000, 'last_traded_price': 122620, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:30 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12071038, 'exchange_timestamp': 1735028430000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:31 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12071234, 'exchange_timestamp': 1735028431000, 'last_traded_price': 122620, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:31 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12071356, 'exchange_timestamp': 1735028431000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:32 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12071914, 'exchange_timestamp': 1735028432000, 'last_traded_price': 122615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:32 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12072076, 'exchange_timestamp': 1735028432000, 'last_traded_price': 191610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:32 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12072377, 'exchange_timestamp': 1735028432000, 'last_traded_price': 122575, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:32 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12072396, 'exchange_timestamp': 1735028432000, 'last_traded_price': 191610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:33 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12072755, 'exchange_timestamp': 1735028433000, 'last_traded_price': 122615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:33 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12072860, 'exchange_timestamp': 1735028433000, 'last_traded_price': 191610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:33 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12073024, 'exchange_timestamp': 1735028433000, 'last_traded_price': 122580, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:33 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12073040, 'exchange_timestamp': 1735028433000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:34 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12073473, 'exchange_timestamp': 1735028434000, 'last_traded_price': 122615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:34 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12073609, 'exchange_timestamp': 1735028434000, 'last_traded_price': 191610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:34 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12073696, 'exchange_timestamp': 1735028434000, 'last_traded_price': 122535, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:34 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12073713, 'exchange_timestamp': 1735028434000, 'last_traded_price': 191610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:35 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12074216, 'exchange_timestamp': 1735028435000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:35 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12074374, 'exchange_timestamp': 1735028435000, 'last_traded_price': 122615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:35 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12074447, 'exchange_timestamp': 1735028435000, 'last_traded_price': 191610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:36 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12074757, 'exchange_timestamp': 1735028436000, 'last_traded_price': 122615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:36 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12074911, 'exchange_timestamp': 1735028436000, 'last_traded_price': 122615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:36 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12075118, 'exchange_timestamp': 1735028436000, 'last_traded_price': 191610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:37 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12075588, 'exchange_timestamp': 1735028437000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:37 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12075634, 'exchange_timestamp': 1735028437000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:38 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12075918, 'exchange_timestamp': 1735028438000, 'last_traded_price': 191640, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:38 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12076322, 'exchange_timestamp': 1735028438000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:38 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12076344, 'exchange_timestamp': 1735028438000, 'last_traded_price': 191640, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:39 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12076483, 'exchange_timestamp': 1735028439000, 'last_traded_price': 122610, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:39 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12076646, 'exchange_timestamp': 1735028439000, 'last_traded_price': 191640, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:39 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12076912, 'exchange_timestamp': 1735028439000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:39 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12076927, 'exchange_timestamp': 1735028439000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:40 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12077271, 'exchange_timestamp': 1735028440000, 'last_traded_price': 122585, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:40 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12077396, 'exchange_timestamp': 1735028440000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:41 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12077599, 'exchange_timestamp': 1735028440000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:41 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12077617, 'exchange_timestamp': 1735028440000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:41 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12078012, 'exchange_timestamp': 1735028441000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:41 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12078117, 'exchange_timestamp': 1735028441000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:41 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12078272, 'exchange_timestamp': 1735028441000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:41 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12078290, 'exchange_timestamp': 1735028441000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:42 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12078664, 'exchange_timestamp': 1735028442000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:42 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12078858, 'exchange_timestamp': 1735028442000, 'last_traded_price': 191615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:42 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12078914, 'exchange_timestamp': 1735028442000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:42 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12078930, 'exchange_timestamp': 1735028442000, 'last_traded_price': 191615, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:43 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12079431, 'exchange_timestamp': 1735028443000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:43 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12079587, 'exchange_timestamp': 1735028443000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:43 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12079604, 'exchange_timestamp': 1735028443000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:43 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12079794, 'exchange_timestamp': 1735028443000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:44 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12080177, 'exchange_timestamp': 1735028444000, 'last_traded_price': 122585, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:44 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12080266, 'exchange_timestamp': 1735028444000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:44 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12080284, 'exchange_timestamp': 1735028444000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:45 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12080511, 'exchange_timestamp': 1735028445000, 'last_traded_price': 191650, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:45 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12080952, 'exchange_timestamp': 1735028445000, 'last_traded_price': 191675, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:45 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12081035, 'exchange_timestamp': 1735028445000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:46 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12081176, 'exchange_timestamp': 1735028446000, 'last_traded_price': 191675, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:46 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12081507, 'exchange_timestamp': 1735028446000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:46 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12081520, 'exchange_timestamp': 1735028446000, 'last_traded_price': 191690, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:47 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12081753, 'exchange_timestamp': 1735028447000, 'last_traded_price': 122600, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:47 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12081914, 'exchange_timestamp': 1735028447000, 'last_traded_price': 191690, 'subscription_mode_val': 'LTP'}
